Name,Frequency,Launch_Date,Region,Position_Longitude,Position_Direction
NSS 9,C,190104,asia,177.0,W
Intelsat 18,CKu,231124,asia,180.0,E
Eutelsat 172B,CKu,240306,asia,172.0,E
Horizons 3e,Ku,240302,asia,169.0,E
Intelsat 19,CKu,240311,asia,166.0,E
ChinaSat 19,,,asia,163.0,E
Superbird B3,Ku,201122,asia,162.0,E
Optus D2,Ku,240322,asia,160.0,E
ABS 6,CKu,220510,asia,159.0,E
Optus D3,Ku,231226,asia,156.0,E
Optus 10,Ku,231205,asia,156.0,E
JCSAT 2B,CKu,231124,asia,154.0,E
Optus D1 (incl. 0.9°),,,asia,152.0,E
BRIsat,C,240304,asia,150.5,E
JCSAT 1C,,,asia,150.0,E
Nusantara Satu,C,240321,asia,146.0,E
Express AMU7,C,220522,asia,145.0,E
JCSAT 16,,,asia,144.0,E
Superbird C2 (incl. 0.2°),Ku,200903,asia,144.0,E
Apstar 9,CKu,231207,asia,142.0,E
Express AM5,Ku,230613,asia,140.0,E
Express AT2,Ku,240218,asia,140.0,E
Telstar 18 Vantage (Apstar 5C),CKu,240307,asia,138.0,E
Apstar 6D,,,asia,134.0,E
Apstar 6C,CKu,240120,asia,134.0,E
JCSAT 12,,,asia,132.0,E
JCSAT 5A,CKu,200922,asia,132.0,E
Vinasat 1,CKu,240207,asia,132.0,E
Vinasat 2,Ku,240216,asia,132.0,E
ChinaSat 6C,C,240109,asia,130.5,E
ChinaSat 2D,,,asia,130.0,E
LaoSat 1,CKu,240318,asia,128.5,E
JCSAT 3A,Ku,201209,asia,128.0,E
Cosmos 2526,,,asia,128.0,E
ChinaSat 6D,CKu,231124,asia,125.0,E
JCSAT 4B,Ku,230930,asia,124.0,E
AsiaSat 9,CKu,240321,asia,122.0,E
AsiaSat 6/Thaicom 7,C,240120,asia,120.0,E
Thaicom 4,Ku,211107,asia,119.3,E
Bangabandhu 1,CKu,240127,asia,119.3,E
Telkom 3S,Ku,220809,asia,118.0,E
Koreasat 6,Ku,231015,asia,116.0,E
Koreasat 7,Ku,240201,asia,116.0,E
ChinaSat 6B (incl. 0.3°),,,asia,115.5,E
ChinaSat 6E,C,240318,asia,115.5,E
Koreasat 5,Ku,220109,asia,113.0,E
Koreasat 5A,Ku,240201,asia,113.0,E
Merah Putih 2,,,asia,113.0,E
ChinaSat 10,C,240303,asia,110.5,E
BSAT 4B,,,asia,110.0,E
BSAT 3A,Ku,200504,asia,110.0,E
BSAT 3C/JCSAT 110R,Ku,200504,asia,110.0,E
JCSAT 15,Ku,200508,asia,110.0,E
BSAT 4A,Ku,210106,asia,110.0,E
SES 7,SKu,240315,asia,108.2,E
SES 9,Ku,240320,asia,108.2,E
Telkom 4,C,240321,asia,108.2,E
AsiaSat 7,C,240318,asia,105.5,E
Express AMU3,C,240102,asia,103.0,E
ChinaSat 9B,Ku,211006,asia,101.4,E
AsiaSat 5,CKu,240225,asia,100.5,E
ChinaSat 11,CKu,240312,asia,98.0,E
G-Sat 9,Ku,230528,asia,97.3,E
Express 103,CKu,240307,asia,96.5,E
SES 8,Ku,240226,asia,95.0,E
SES 12,Ku,240321,asia,95.0,E
G-Sat 15,Ku,240216,asia,93.5,E
G-Sat 17,C,240228,asia,93.5,E
ChinaSat 9,Ku,240129,asia,92.2,E
Measat 3b,Ku,240312,asia,91.5,E
Measat 3d,CKu,240229,asia,91.5,E
Measat 3a,CKu,240321,asia,91.5,E
Yamal 401,CKu,240213,asia,90.0,E
ST 2,CKu,230410,asia,88.0,E
ChinaSat 12,CKu,240130,asia,87.5,E
KazSat 2,Ku,240312,asia,86.5,E
Intelsat 15,,,asia,85.2,E
G-Sat 10,C,240211,asia,83.0,E
G-Sat 24,Ku,240306,asia,83.0,E
G-Sat 30,CKu,240319,asia,83.0,E
Express 80,Ku,240304,asia,80.0,E
Thaicom 6,CKu,240322,asia,78.5,E
Thaicom 8,Ku,240317,asia,78.5,E
Apstar 7,CKu,240317,asia,76.5,E
ABS 2,CKu,240105,asia,75.0,E
ABS 2A,Ku,240313,asia,75.0,E
G-Sat 18,CKu,240124,asia,74.0,E
Intelsat 22,C,240312,europe,72.1,E
Eutelsat 70B,Ku,240317,europe,70.5,E
Intelsat 20,CKu,240322,europe,68.5,E
Intelsat 36,Ku,240203,europe,68.5,E
Intelsat 17,CKu,240223,europe,66.0,E
Amos 4,Ku,240316,europe,65.0,E
Intelsat 39,CKu,240312,europe,62.0,E
Intelsat 33e,CKu,240316,europe,60.0,E
KazSat 3,Ku,240322,europe,58.5,E
NSS 12,CKu,240311,europe,57.0,E
Express AT1,Ku,240301,europe,56.0,E
G-Sat 8,Ku,210716,europe,54.9,E
Yamal 402,Ku,240212,europe,54.9,E
Express AM6 (Eutelsat 53A),Ku,240321,europe,53.0,E
Al Yah 1,Ku,240317,europe,52.5,E
TurkmenÄlem/MonacoSat,Ku,240321,europe,52.0,E
Belintersat 1 (ChinaSat 15),CKu,240314,europe,51.5,E
Türksat 4B,Ku,230819,europe,50.0,E
Yamal 601,C,231123,europe,49.0,E
Azerspace 1,CKu,240317,europe,46.0,E
Azerspace 2/Intelsat 38,Ku,240321,europe,45.0,E
Cosmos 2520,C,230905,europe,45.0,E
NigComSat 1R,CKu,240204,europe,42.5,E
Türksat 3A,Ku,240320,europe,42.0,E
Türksat 4A,KuKa,240320,europe,42.0,E
Türksat 5B,Ku,240130,europe,42.0,E
Express AM7,CKu,240108,europe,40.0,E
Hellas Sat 3,Ku,240310,europe,39.0,E
Hellas Sat 4,Ku,240311,europe,39.0,E
Paksat 1R,CKu,240306,europe,38.0,E
Express AMU1 (Eutelsat 36C),Ku,240321,europe,36.0,E
Eutelsat 36B,Ku,240308,europe,36.0,E
Eutelsat 33F,Ku,240316,europe,33.0,E
Intelsat 28,Ku,231019,europe,33.0,E
Türksat 5A,Ku,240202,europe,31.0,E
Arabsat 5A,Ku,240217,europe,30.5,E
Arabsat 6A,Ku,240320,europe,30.5,E
Astra 2E (Eutelsat 28E),Ku,240319,europe,28.3,E
Astra 2F (Eutelsat 28F),Ku,240321,europe,28.3,E
Astra 2G (Eutelsat 28G),Ku,240321,europe,28.3,E
Badr 6 (incl. 0.7°),,,europe,26.0,E
Badr 4,,,europe,26.0,E
Badr 5,Ku,240308,europe,26.0,E
Badr 7,Ku,240311,europe,26.0,E
Badr 8,CKu,240314,europe,26.0,E
Es'hail 2,Ku,240301,europe,26.0,E
Es'hail 1,KuKa,240223,europe,25.5,E
Astra 3B,Ku,240319,europe,23.5,E
Astra 3C,Ku,240306,europe,23.5,E
Angosat 2,,,europe,23.0,E
Eutelsat 21B,Ku,240316,europe,21.5,E
Arabsat 5C,C,240306,europe,20.0,E
Astra 1KR,Ku,240309,europe,19.2,E
Astra 1L,KuKa,240318,europe,19.2,E
Astra 1M,Ku,240312,europe,19.2,E
Astra 1N,Ku,240202,europe,19.2,E
Amos 17,CKu,240201,europe,17.0,E
Eutelsat 16A,KuKa,240322,europe,16.0,E
Hotbird 13F,Ku,240321,europe,13.0,E
Hotbird 13G,Ku,240321,europe,13.0,E
Eutelsat 10B,CKu,240317,europe,10.0,E
Eutelsat Ka-Sat 9A,Ka,231105,europe,9.0,E
Eutelsat 9B,Ku,240321,europe,9.0,E
Eutelsat 7B,KuKa,240321,europe,7.0,E
Eutelsat 7C,Ku,240306,europe,7.0,E
SES 5,CKu,240319,europe,4.9,E
Astra 4A,Ku,240321,europe,4.9,E
Eutelsat 3B,CKu,240316,europe,3.0,E
Rascom QAF 1R,CKu,240321,europe,3.0,E
BulgariaSat 1,Ku,240317,europe,1.9,E
Thor 7,Ku,240307,atlantic,0.8,W
Thor 5,Ku,240315,atlantic,0.8,W
Thor 6,Ku,240320,atlantic,0.8,W
Intelsat 10-02 (Thor 10-02),CKu,240316,atlantic,0.8,W
ABS 3A,CKu,240223,atlantic,3.0,W
Amos 7,Ku,240306,atlantic,4.0,W
Amos 3,Ku,240127,atlantic,4.0,W
Eutelsat 5 West B,Ku,240318,atlantic,5.0,W
Nilesat 201,Ku,240313,atlantic,7.0,W
Nilesat 301,Ku,240307,atlantic,7.0,W
Eutelsat 7 West A,Ku,240320,atlantic,7.0,W
Eutelsat 8 West B,CKu,240320,atlantic,8.0,W
Express AM44 (incl. 1.3°),C,240219,atlantic,11.0,W
Express AM8,CKu,231218,atlantic,14.0,W
Telstar 12 Vantage,Ku,240225,atlantic,15.0,W
Intelsat 37e,CKu,240131,atlantic,18.0,W
SES 4,CKu,240315,atlantic,22.0,W
Alcomsat 1,Ku,231101,atlantic,24.8,W
Intelsat 901,CKu,231001,atlantic,27.5,W
Hispasat 30W-5,Ku,240305,atlantic,30.0,W
Hispasat 30W-6,Ku,240302,atlantic,30.0,W
Intelsat 35e,CKu,240226,atlantic,34.5,W
NSS 10 (incl. 4.4°),C,170724,atlantic,37.5,W
Telstar 11N,Ku,231015,atlantic,37.5,W
SES 6,CKu,240322,atlantic,40.5,W
Sky Brasil 1,Ku,240312,atlantic,43.1,W
Intelsat 14,CKu,240227,atlantic,45.0,W
SES 14,C,240213,atlantic,47.5,W
Intelsat 23,CKu,220731,atlantic,53.0,W
Intelsat 34,C,240310,atlantic,55.5,W
Intelsat 21,CKu,240317,atlantic,58.0,W
Amazonas 2,Ku,240123,atlantic,61.0,W
Amazonas 3,CKu,240226,atlantic,61.0,W
Amazonas 5,Ku,240225,atlantic,61.0,W
Amazonas Nexus,,,atlantic,61.0,W
EchoStar 16,Ku,220118,america,61.5,W
Telstar 14R,Ku,230615,america,63.0,W
Star One C2,C,231211,america,65.1,W
Eutelsat 65 West A,CKu,240311,america,65.1,W
SES 10,Ku,240225,america,67.0,W
Star One C4,Ku,240303,america,70.0,W
Star One D2,CKu,240318,america,70.0,W
Arsat 1,Ku,240307,america,71.8,W
Nimiq 5,Ku,231015,america,72.7,W
Hispasat 74W-1,Ku,240224,america,73.9,W
Star One C3,C,240103,america,75.0,W
QuetzSat 1,Ku,231004,america,77.0,W
Sky Mexico 1,Ku,240128,america,78.8,W
Arsat 2,Ku,240303,america,81.0,W
Nimiq 4,Ku,220919,america,82.0,W
Star One D1,C,240103,america,84.0,W
Sirius XM 8,,,america,84.0,W
Galaxy 17 (incl. 0.9°),Ku,230523,america,85.0,W
XM 3,S,231228,america,85.1,W
SES 2,CKu,240307,america,87.1,W
TKSat 1,CKu,240322,america,87.1,W
ViaSat 3 Americas,,,america,88.9,W
Galaxy 28 (incl. 1.2°),Ku,240202,america,89.0,W
Galaxy 36,C,240315,america,89.0,W
Intelsat 40e,,,america,91.0,W
Galaxy 32,C,240227,america,91.0,W
Nimiq 6,Ku,240106,america,91.0,W
Galaxy 35,C,230818,america,93.1,W
Galaxy 3C (incl. 1.6°),Ku,220108,america,95.0,W
Intelsat 31,Ku,240104,america,95.0,W
Intelsat 30,Ku,240104,america,95.0,W
Jupiter 3/EchoStar 24,,,america,95.2,W
Eutelsat 33E (incl. 0.6°),,,america,95.4,W
Galaxy 19,CKu,240306,america,97.0,W
Galaxy 16,CKu,240224,america,99.2,W
T11/T14,KuKa,181003,america,99.2,W
T16,Ku,200711,america,101.0,W
SES 1,CKu,240309,america,101.0,W
T9S (incl. 0.3°),Ku,240214,america,101.0,W
T10/T12,KuKa,180927,america,103.0,W
SES 3,Ku,240307,america,103.0,W
SES 18,C,240301,america,103.0,W
SES 20,,,america,103.5,W
AMC 15,Ku,170706,america,105.0,W
EchoStar 105/SES 11,CKu,240316,america,105.0,W
Anik F1R (incl. 2.2°),C,240203,america,107.3,W
Anik G1,Ku,240312,america,107.3,W
EchoStar 23,,,america,109.9,W
T5 (incl. 2.8°),Ku,100331,america,110.0,W
EchoStar 10,Ku,200530,america,110.0,W
EchoStar 11,Ku,231015,america,110.0,W
Anik F2 (incl. 1.2°),CKa,240228,america,111.1,W
Anik F4,,,america,111.1,W
Eutelsat 113 West A (incl. 0.2°),,240202,america,112.5,W
Eutelsat 115 West B,CKu,240307,america,114.9,W
Sirius XM 5,S,231228,america,115.2,W
Eutelsat 117 West A,CKu,240313,america,117.0,W
Eutelsat 117 West B,Ku,240104,america,117.0,W
Anik F3,CKu,240306,america,119.0,W
T8,Ku,210415,america,119.0,W
EchoStar 14,Ku,230717,america,119.0,W
Galaxy 31,C,231103,america,121.0,W
Galaxy 18,CKu,240308,america,123.0,W
Galaxy 30,C,240301,america,125.0,W
Galaxy 37/Horizons 4,C,240208,america,127.0,W
SES 15,Ku,240306,america,129.0,W
Galaxy 34,,,america,129.0,W
SES 21,C,231020,america,131.0,W
Galaxy 33,CKu,230926,america,133.0,W
SES 22,C,240302,america,135.0,W
SES 19,,,america,135.0,W
AMC 6,C,210906,america,139.0,W
Galaxy 13/Horizons 1,,,america,150.0,W
